NOP (INH)	0x01	2
TAP (INH)	0x06	2
TPA (INH)	0x07	2
INX (INH)	0x08	4
DEX (INH)	0x09	4
CLV (INH)	0x0A	2
SEV (INH)	0x0B	2
CLC (INH)	0x0C	2
SEC (INH)	0x0D	2
CLI (INH)	0x0E	2
SEI (INH)	0x0F	2
SBA (INH)	0x10	2
CBA (INH)	0x11	2
TAB (INH)	0x16	2
TBA (INH)	0x17	2
DAA (INH)	0x19	2
ABA (INH)	0x1B	2
BRA (REL)	0x20	4
BHI (REL)	0x22	4
BLS (REL)	0x23	4
BCC (REL)	0x24	4
BCS (REL)	0x25	4
BNE (REL)	0x26	4
BEQ (REL)	0x27	4
BVC (REL)	0x28	4
BVS (REL)	0x29	4
BPL (REL)	0x2A	4
BMI (REL)	0x2B	4
BGE (REL)	0x2C	4
BLT (REL)	0x2D	4
BGT (REL)	0x2E	4
BLE (REL)	0x2F	4
TSX (INH)	0x30	4
INS (INH)	0x31	4
PULA (INH)	0x32	4
PULB (INH)	0x33	4
DES (INH)	0x34	4
TXS (INH)	0x35	4
PSHA (INH)	0x36	4
PSHB (INH)	0x37	4
RTS (INH)	0x39	5
RTI (INH)	0x3B	10
WAI (INH)	0x3E	9
SWI (INH)	0x3F	12
NEGA (INH)	0x40	2
COMA (INH)	0x43	2
LSRA (INH)	0x44	2
RORA (INH)	0x46	2
ASRA (INH)	0x47	2
ASLA (INH)	0x48	2
ROLA (INH)	0x49	2
DECA (INH)	0x4A	2
INCA (INH)	0x4C	2
TSTA (INH)	0x4D	2
CLRA (INH)	0x4F	2
NEGB (INH)	0x50	2
COMB (INH)	0x53	2
LSRB (INH)	0x54	2
RORB (INH)	0x56	2
ASRB (INH)	0x57	2
ASLB (INH)	0x58	2
ROLB (INH)	0x59	2
DECB (INH)	0x5A	2
INCB (INH)	0x5C	2
TSTB (INH)	0x5D	2
CLRB (INH)	0x5F	2
NEG (IND)	0x60	7
COM (IND)	0x63	7
LSR (IND)	0x64	7
ROR (IND)	0x66	7
ASR (IND)	0x67	7
ASL (IND)	0x68	7
ROL (IND)	0x69	7
DEC (IND)	0x6A	7
INC (IND)	0x6C	7
TST (IND)	0x6D	7
JMP (IND)	0x6E	4
CLR (IND)	0x6F	7
NEG (EXT)	0x70	6
COM (EXT)	0x73	6
LSR (EXT)	0x74	6
ROR (EXT)	0x76	6
ASR (EXT)	0x77	6
ASL (EXT)	0x78	6
ROL (EXT)	0x79	6
